Title,Price($),Address,Date Posted,Building Type,Bedrooms,Bathrooms,Utilities,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Appliances,Amenities,Description,Visit Counter,url
153 St George - 1 Bedroom Apartment for Rent,2400,"153 St. George Street, Toronto, ON, M5R 2L9",2024-03-06 00:34:44,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,"April 1, 2024",Yes,647,No,No,Balcony,No,Laundry (In Building),Storage Space,Utilities Included,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/153-st-george-1-bedroom-apartment-for-rent/1684385240
600 Kingston Road - Kingston Estates Apartment for Rent,2279,"600 Kingston Road, Toronto, ON, M4E 1R1",2024-02-24 22:48:01,Apartment,1,1,,Not Included,0,1 Year,,Yes,706,No,No,Not Included,No,Fridge / Freezer,Elevator in Building,"Welcome to life in the Upper Beaches neighbourhood. Your rental community at Kingston Estates is conveniently surrounded by a wide selection of shopping, dining and recreational options. Your new home is steps away from The Big Carrot Beach Community Market, you can walk your dog in the wooded ravine trails of Glen Stewart Park, and there are schools, pre-schools and a community center within walking distance. The fun and sun of The Beaches and The Boardwalk along Lake Ontario are less than 10 minutes away by bicycle or car. The TTC stops just steps from your door – so all of Toronto is easily accessible and the nearby Danforth GO station makes commuting a breeze.Your modern and spacious rental apartment features an upgraded kitchen with granite countertops, new appliances, and ceramic floors. Laundry facilities are conveniently located on-site and storage lockers will help you cut down on clutter. Experience the peace of mind of monitored security cameras and a friendly on-site management team – there to deal with any maintenance issues in the building or in your suite. Never hunt for a parking spot – there is dedicated visitor parking for your guests and assigned parking available for you. Kingston Estates is a Certified Rental Building.Your new life is waiting for you at Kingston Estates (600 Kingston Road). Don't keep it waiting for too long! nullBuilding Overivew",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/600-kingston-road-kingston-estates-apartment-for-rent/1686333422
Seneca college nice bedroom in north York,780,"667 Seneca Hill Dr, North York, ON M2J 2W7",2024-03-12 01:24:54,,,,,,,,,No,,Yes,,,,,,"One minute to Seneca college, finch bus stops ,supermarket, td bank everything. 4 big parks surrounding, best friendly safe community . One room in the basement is $780,another one is on the 2nd floor bedroom $1150, new hardwood floors ,KING size bed ! nice room with closet Very friendly landlord, Wi-Fi everything included. Won’t last long . For one single person only .",12 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/seneca-college-nice-bedroom-in-north-york/1687965790
Eglinton west  subway station nice bedroom,850,"Livingstone Ave, York, ON M6E",2024-03-12 01:23:23,,,,,,,,,No,,Yes,,,,,,"Walking to Eglinton subway station , 10 minutes to downtown Toronto . University of Toronto . 5 minutes to YORKDALE MALL , 20 minutes to YORK UNIVERSITY, One basement for $850 , one top floor for $950 . Great Friendly landlord and neighbors . Each Private room for 1 Single guy only , sorry no 2 people share, no couples , no pets , no smoker , clean and nice people are welcome. Student welcome, no parking . please kindly tell me your job and phone number, I’ll get back to you as soon as I can thanks!",13 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/eglinton-west-subway-station-nice-bedroom/1687965699
"Lux Condo,Downtown,King and John,Furnished Private Den for rent!",1000,"Toronto, ON M5V 3P6",2024-03-12 01:20:32,,,,,,,,,No,,Yes,,,,,,Luxury Condo Downtown King and John Furnished Private Den for rent!,16 visits,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/lux-condo-downtown-king-and-john-furnished-private-den-for-rent/1687965478
Spacious 1 Bed + 1 Bath Condo in the Heart of Mimico Lakeshore,2500,"Annie Craig Drive, Etobicoke, ON",2024-03-12 01:17:21,Condo,1,1,"Hydro_No,Heat_No,Water_Yes",Not Included,1,1 Year,"April 1, 2024",No,600,No,Yes,Not Included,No,,,Looking To Live By The Lake in a Mimico condo? Let Me Help You!,13 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/spacious-1-bed-1-bath-condo-in-the-heart-of-mimico-lakeshore/1687965242
Parkside Student housing (April or May- end of August) (Female),1490,"Carlton Street, Toronto, ON",2024-03-12 01:17:02,,,,,,,,,No,,Yes,,,,,,"PARKSIDE STUDENT HOUSING, LOOKING FOR FEMALE
The unit is a 2 bedroom 1 bathroom, and I’m releting 1 bedroom.",32 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/parkside-student-housing-april-or-may-end-of-august-female/1687219738
RENT a ROOM in ETOBICOKE,990,"Etobicoke, ON M8V 2E8",2024-03-12 01:16:41,,,,,,,,,No,,Yes,,,,,,"Room to Rent 990 CDN per month (All inclusive) on the top floor of a brand new house with its own private full bathroom. The room is SINGLE occupancy.
We are looking for: *ONE responsible FEMALE adult housemate, clean and responsible, friendly and respectful to others. No drugs, smoking or drunk in the house.
Professionals or mature Students with steady income. International students are also welcomed.
- Furnished, very spacious and clean, private room with Queen Bed, Dresser, Night Stand, Desk and Chair, walk in closet, 10 feet high ceiling, large window
- Private, bright, no smoking and quiet.
- Quiet neighborhood, safe area, very close to College and transportation (10 min bus ride to Kipling subway, minutes walk to GO station and street car, less then 40 min to Downtown). Near by No Frills, IKEA, Cineplex, Sherway Gardens Mall, Costco, Walmart, etc. steps to the Lake and Park.
Shared Common Areas Include (in the basement):
- Kitchen fully equipped (Refrigerator, Washer, Stove, Microwave, Grill)
- Dining area.
- Parking not available, but could get street permit.
Utilities Include: - Wi Fi High Speed - Electricity - Gas - Heating - Cooling - Laundry - Water - Garbage Pick Up
Requirements:
1. Last two pay statements (if applicable).
2. Employer's letter / Student Card.
3. Credit check (if applicable).
4. Photo ID
Don't miss out this Fantastic opportunity at this high demand Location.
Available March 16th, 2024",22 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/rent-a-room-in-etobicoke/1687965200
Shared temp apartment for female student available,600,"Scarborough, ON M1J",2024-03-12 01:15:47,,,,,,,,,,,Yes,,,,,,Shared accommodation for temporary few months rent for female included all heat hydro and furnace room with wifi,7 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/shared-temp-apartment-for-female-student-available/1687965138
"PRIVATE BASEMENT APARTMENT, LOCATED AT KENNEDY/LAWRENCE EAST",1500,"Scarborough, ON M1P 1S7",2024-03-12 01:15:30,Basement,1 + Den,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,0,1 Year,"April 1, 2024",No,500,No,Yes,Yard,No,"Laundry (In Building), Fridge / Freezer",,"PLEASE READ THE ENTIRE AD BEFORE CONTACTING ME. PLEASE TEXT, MESSAGE OR CALL ME AT THE LISTED NUMBER FOR QUICK RESPONSES. IF THE AD IS STILL UP, IT IS STILL AVAILABLE.","2,284 visits",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/private-basement-apartment-located-at-kennedy-lawrence-east/1685515558
Secure Underground Monthly Parking Available  Braodview & Danfor,160,"Toronto, ON M4K 1V3",2024-03-12 01:15:29,,,,,,,,,,,,,,,,,Secure Underground Monthly Parking Available. Located just steps away from Braodview Subway Station and Toronto's Greek Town.,75 visits,https://www.kijiji.ca/v-storage-parking/city-of-toronto/secure-underground-monthly-parking-available-braodview-danfor/1685954002
Roommate wanted for 2 bed apt 1200 near Islington stn,1200,"28 Fieldway Road, Etobicoke, ON",2024-03-12 01:14:55,,,,,,,,,No,,No,,,,,,"1 Bedroom available in 2 Bedroom townhouse unit for $1200/month.
Safe Etobicoke neighbourhood.
Close to Kipling and Islington TTC stations.
25 min bus to Humber College. 30-40 min to downtown core.
Sobeys, No Frills grocery, Gyms all walking distance.
In-unit laundry, dishwasher, air fryer, espresso machine, Zoji rice cooker. Very modern unit with central AC and heating.
Utilities and Internet can be included in the price for $50, it usually costs a bit more than that per month. Internet is 550mbps.",9 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/roommate-wanted-for-2-bed-apt-1200-near-islington-stn/1687965067
Semi-Bsmnt Apt (2 bed+2 Wash+1 Kit+Sep Ent )for Rent in Beaches,2200,"Scarborough, ON M1N",2024-03-12 01:13:15,,,,,,,,,No,,No,,,,,,"2 Bed + 2 wash + 1 Kit + separate entrance available Semi-basement Apartment for rent in Beaches Area (Kingston/ Warden) starting from Arp 1st 2024.
- Less than 2 Minutes from TTC buses - FREE unlimited high speed Wi-Fi. – TV Cable- Washer/Dryer (exclusively for tenants)- Parking on Road. - NO SMOKING, & NO PETS.
Ideal for student girls or a couple. Rent is $2,200/ mo
Required docs: Photo IDs, Job Letter, paystubs, credit bureau, reference letter. Please contact at realestatewinner1@gmail.com",,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/semi-bsmnt-apt-2-bed-2-wash-1-kit-sep-ent-for-rent-in-beaches/1687964577
3 Beds 2 baths Main floor available for students in Morningside,3350,"15 Bingley Rd, Scarborough, ON M1X 1L2",2024-03-12 01:12:01,House,3,2.5,,Not Included,2,1 Year,"March 12, 2024",No,"1,500",No,Yes,Yard,No,Laundry (In Unit),,"3 bedrooms 2 Washrooms Main Floor available for students or working Professionals near Morningside. Ensuite Laundry. 3 parking spaces available. Close to TTC, Amazon, Pan Am Centre, Centennial College, UOFT, Hwy 401 and all Amenities. If you’re interested, please give me a call @ 416 272 6811.
Thank you!",9 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-beds-2-baths-main-floor-available-for-students-in-morningside/1687964858
1 Bedroom for Rent | Yonge and Sheppard | March 2024,2625,"299 Eglinton Avenue East, Toronto, ON",2024-03-12 01:10:59,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,"March 11, 2024",Yes,659,No,Yes,Balcony,No,"Laundry (In Building), Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Elevator in Building","1 BEDROOM suite at Harrison:
105 Harrison Garden Blvd., Toronto",98 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-for-rent-yonge-and-sheppard-march-2024/1681788851
Furnished room in basement for rent Bathurst/ Steeles,850,"North York, ON M2R 2X1",2024-03-12 01:10:34,,,,,,,,,No,,Yes,,,,,,Huge furnished renovated room in basement.,10 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-room-in-basement-for-rent-bathurst-steeles/1687964750
"MCCOWAN AND STEELS, 1 Bed, Basement Apt for Rent, Walk /out",1799,"Markham, ON L3S 3M4",2024-03-12 01:09:57,Basement,1,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,1,1 Year,"May 1, 2024",Yes,"1,100",No,Yes,Yard,No,"Laundry (In Unit), Laundry (In Building), Fridge / Freezer",,"MCCOWAN AND STEELS, 1 Bed, Basement Apt for Rent, Walk /out",3 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/mccowan-and-steels-1-bed-basement-apt-for-rent-walk-out/1687964708
A female roommate wanted for a North York house,850,"North York, Toronto, ON M2R 2L7",2024-03-12 01:09:23,,,,,,,,,No,,Yes,,,,,,"Location: between Drewry and Bathurst, North York. Near bus stations, schools, supermarket, Gas station
Room: a furnished bedroom on the mainfloor of single house, shared washrooms and kitchen.
Rent: $850/m including all utilities, high speed internet, parking, laundry
When: April 1, 2024 moving in
Contact: 7802637897 text message
No pets, no drugs, no smoke, no party
Only a female wanted! Thanks",18 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/a-female-roommate-wanted-for-a-north-york-house/1687964669
Private room with attached washroom. Unshared.,750,"Laxton Ave, Toronto, ON M6K 1K8",2024-03-12 01:09:10,,,,,,,,,,,Yes,,,,,,Private unit with your own personal washroom. All utilities included. Wifi Complimentary,23 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/private-room-with-attached-washroom-unshared/1687964656
[Downtown Toronto] 1 Bedroom + Den For RENT!,2350,"170 Sumach Street, Toronto, ON",2024-03-12 01:08:39,Condo,1 + Den,1,,Not Included,0,1 Year,"March 11, 2024",No,545,No,Yes,Balcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Elevator in Building","170 Sumach St, M5A 0C6, 9th floor
Major Intersection: Dundas St E. & River St.
⏰Lease Duration: 1-Year
Move-in date, Anytime (vacant, first-come-first-serve)",9 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/downtown-toronto-1-bedroom-den-for-rent/1687964613
EXTREMELY BEAUTIFUL LARGE ROOM IN A WELCOME NEW HOUS,925,"84 Maywood Park, Scarborough, ON",2024-03-12 01:07:34,,,,,,,,,No,,Yes,,,,,,"Beautiful large room in a welcoming quiet new house, in a prestigious environment in Scarborough, suitable for professionals or Students.' Public transport is only a 15-minute walk as well as Shops and many types of Restaurants. The first and last is mandatory. Parking is available, contact number;647 242 6041",17 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/extremely-beautiful-large-room-in-a-welcome-new-hous/1687964548
1-Bedroom Suite in Downtown Toronto (SHORT TERM),2200,"Lower Sherbourne Street, Toronto, ON",2024-03-12 01:07:07,,,,,,,,,No,,No,,,,,,"121 Sherbourne St
Major Intersection: Front St E & Lower Sherbourne St",10 visits,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/1-bedroom-suite-in-downtown-toronto-short-term/1687964516
1 Bedrooms for Rent | Yonge and Eglinton | February 2024,2565,"Eglinton Avenue East, Toronto, ON",2024-03-12 01:06:46,Apartment,1,1,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,"March 11, 2024",Yes,530,No,Yes,Balcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Elevator in Building",⭐⭐⭐ELGIN⭐⭐⭐,224 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedrooms-for-rent-yonge-and-eglinton-february-2024/1681789449
"May1st, Furnished PRIVATE Room for Rent, Downtown,King and John",1600,"Toronto, ON M5V 3P6",2024-03-12 01:06:44,,,,,,,,,No,,Yes,,,,,,"Females only to Apply, on May 1st, Private Furnished Room, just in the Heart of Downtown",14 visits,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/may1st-furnished-private-room-for-rent-downtown-king-and-john/1687964487
Large Spacious 1000 sq.ft Condo with great South Lake Views!,3800,"Toronto, ON M5V 3Z5",2024-03-12 01:04:42,Condo,2,2,"Hydro_No,Heat_Yes,Water_Yes",Not Included,1,1 Year,"April 1, 2024",Yes,"1,000",No,Yes,Balcony,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Elevator in Building","Large 1000 sq.ft Corner Suite with South Lake Views, large 100 sq.ft Balcony. Great central Front/Spadina area. Next door, park, Community Centre, Grocery & Street Car! Walk to Harbourfront, Chinatown, Downtown, Financial & Entertainment District. Gym,Sauna, Outdoor Barbecue, Roof-top Pool and Guest Suites & Guest Parking. Will provide a big Dining Table with Chairs and Queen Bed with a like-new Memory Foam Mattress with a new Waterproof Mattress cover, if prefferred.
Prospective Tenant must have very good credit score and proof of Employment income. Available after April 1, 2024.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/large-spacious-1000-sq-ft-condo-with-great-south-lake-views/1687964343
A 3-Bedroom Basement Rental,2100,"Scarborough, ON M1G",2024-03-12 01:04:39,Basement,3,1,,Not Included,1,1 Year,"May 1, 2024",No,"1,000",No,Yes,Yard,No,"Laundry (In Unit), Fridge / Freezer",,"A 3 Bedroom Basement Rental
•	Available on May 1st, 2024.
•	Monthly rent is 2100 CAD + 250 CAD for ALL Utilities (Hydro + Gas + Water & Waste + 1500mbps Bell Fiber Internet, which is fastest available for the area)
•	Separate entrance, high ceiling, natural lights
•	3 Bedrooms with big closets
•	A new kitchen with lots of cabinets
•	A well-designed laundry area with big storage
•	A side walkway/garden as an outer space
•	One parking space is on the driveway available.
•	Located in a Cul-de-Sac Family Neighborhood
•	Close to Centennial College, University of Toronto Scarborough, Toronto Pan Am Sports Centre, Cedar-brae Mall, Scarborough Golf Club, and all essential requirements (schools, hospital, etc.)
•	Close to Cedar Ridge Park and Highland Creek Park
•	Any kinds of smoking, pets and outer shoes are not allowed in the unit.
•	Minimum contract duration is 1 year.
•	First and Last months’ rent, employment letter, last four pay stubs, reference letter from previous homeowner and official ID’s will be required.",22 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/a-3-bedroom-basement-rental/1687964338
Room for rent,950,"Etobicoke, ON M8Z 4J6",2024-03-12 01:03:49,,,,,,,,,,,Yes,,,,,,Large room for rent. Looking for student or working young people.,24 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent/1687964281
Looking for a mechanic shop in pickering or ajax,1,"Pickering, ON L1V",2024-03-12 01:02:30,,,,,,,,,,"1,000",Yes,,,,,,"Looking for a unit in Pickering or Ajax for mechanic shop.
Open to sqft.
Mostly Durham region.
Please message me",2 visits,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/looking-for-a-mechanic-shop-in-pickering-or-ajax/1687964166
NEWLY RENOVATED 4B2B SEMI UPPER LEVEL for rent in SCARBOROUGH,3400,"Scarborough, ON M1V 1S2",2024-03-12 01:02:30,House,4,2,,Not Included,1,1 Year,"March 15, 2024",No,"2,000",No,Yes,YardBalcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer",,"Newly renovated 4 BEDROOMS, 2 BATHROOMS on upper level of a semi-detached house for rent in SCARBOROUGH. Close to grocery stores, restaurants, shopping center and all amenities. Separate entrance basement has been rented out.
Available IMMEDIATELY!
- Rent $3400/m, split utilities cost with the basement tenants
- Including 1 parking spot
- Suitable for working professionals or a family
- Long term rentals (at least 1 year lease)",10 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/newly-renovated-4b2b-semi-upper-level-for-rent-in-scarborough/1687964165
2 bed room basement Apartment for Rent,2500,"Warden Ave., Scarborough, ON, M1L4V2",2024-03-12 01:02:04,Basement,2,1,,Not Included,0,1 Year,"April 1, 2024",No,"1,400",Yes,Yes,Not Included,No,"Laundry (In Building), Fridge / Freezer",,"Two bedroom basement apartment available for rent from April 1st.
At Warden and St Clair intersection .
Walking distance to Warden subway(5 mints )
Separate Entrance for the basement.
Utilities Separate (40%).
Ravi
Call-+14163714107
Email-Ravi.Satkuru@hotmail.com.",8 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bed-room-basement-apartment-for-rent/1687964134
SEPARATE ROOM FOR FEMALE - $625 NEAR KENNEDY SUBWAY,625,"Scarborough, ON M1P 1C8",2024-03-12 01:01:23,,,,,,,,,No,,Yes,,,,,,A Separate furnished bedrooms is available anytime for FEMALE FOR $625. Be part of South Asian tenants.,10 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/separate-room-for-female-625-near-kennedy-subway/1687964094
Roommate wanted,1500,"36 Park Lawn Rd, Etobicoke, ON M8V 0E5",2024-03-12 01:00:54,,,,,,,,,,,No,,,,,,"Hey all! Looking for a roommate. I live on lakeshore and parklawn. Two bedrooms, two bathrooms. Metro, shoppers lcbo, banks, dentist, massage all two minute walk away. Go car 3 minute walk away.Humber bay park and walk ways all around. I have two dogs (cavalier spaniels) so must love dogs. I am 30 something year old female working professional. The room is a primary room with ensuite and tub. Two large balconies.
Ensuite laundry.
The living room and kitchen are furnished. Kitchen has a large island. Utilities included.
Parking available for an additional $125",5 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/roommate-wanted/1687964058
Basement Rental,1700,"Finch Ave, Pickering, L1X 1L8",2024-03-12 01:00:50,,,,,,,,,,,No,,,,,,"1 bedroom + 1 washroom
Large living room
Brand new kitchen
Seperate entrance
New appliances
No smoking/pets
30% utilies
First and last required",3 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/basement-rental/1687964049
Private Bedroom for Rent (Downtown Toronto),1100,"Pembroke Street, Toronto, ON",2024-03-12 01:00:49,,,,,,,,,No,,Yes,,,,,,"Intersection: Dundas St & Jarvis St
⏰MOVE-IN date: Flexible
⏰Duration: Preferably 1 Year",15 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/private-bedroom-for-rent-downtown-toronto/1687964048
sharing room for girl,500,"Brilliant Ct, Scarborough, ON M1V 0A8",2024-03-12 01:00:40,,,,,,,,,,,Yes,,,,,,"All utilities included..
hydro, wifi, laundry everything…
And separate bed provided",5 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/sharing-room-for-girl/1687964039
May 1st-Female Flat Mate Wanted Near Downtown,955,"Belgravia Ave, Toronto, ON M6E 2M6",2024-03-12 01:00:26,,,,,,,,,No,,Yes,,,,,,"Looking for a clean,respectful and good communication female housemate to occupy a furnished room in a shared detached house starting May 1st. The room has a separate entrance and is strictly for single occupancy. No couples, sharing,sleepover, pets, No smoking, or vaping allowed. 4 months preferred. The house has a transit score of 85/100 and is conveniently located near TTC and LRT stations, convenience stores, parks, and various amenities. The room which has window is situated on the Main level, offering a peaceful atmosphere with a backyard view and ample sunlight. It includes a twin size bed, desk, chair, closet, The bathroom and kitchen are shared with two other female professionals. Monthly Rent is $955 plus 25% of utility(roughly $50 -$90 per month depends on usage) and Unlimited High Speed Internet. Laundry is available on site if required. Parking is available if requested. Interested individuals should provide a brief introduction and contact information.",7 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/may-1st-female-flat-mate-wanted-near-downtown/1687964025
Basement rooms - 7 minutes walking to Islington subway,850,"1179 Islington Avenue, Etobicoke, ON",2024-03-12 00:59:34,,,,,,,,,No,,Yes,,,,,,"Location, Location, Location! Home In Islington/Bloor Location. Seven minutes walking to Islington Subway, Shops, Cafes, Restaurants & More. Quick Access To Hwy 401, 427, Gardiner & Qew, Etc.
Separated entrance with three bedrooms, one full bathroom, renovated kitchen,
850$ for the smaller room, available immediately
900$ for the bigger room, available April 01
Utilities and SUPER high-speed internet are included. All rooms are fully furnished, Laundry on site. No parking. Prefer student or young professional. One person only. Please provide a brief introduction of yourself and include your contact number. If the add is up, the room is still available.",11 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/basement-rooms-7-minutes-walking-to-islington-subway/1687963958
Room for rent,650,"Kennedy Rd, Scarborough, ON, M1R2W6",2024-03-12 00:59:30,,,,,,,,,,,Yes,,,,,,"Bright room available for rent near Kennedy subway station.
Kitchenette only.
Shared bathroom.
Wifi high speed internet included.
Basic cable available.
Parking available.
Near shopping centre.
Requirements:
First and last months rent.
Picture ID.
Emergency contact.
One reference required
No credit check.
Serious inquiries only please call Martina 4377707335",20 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent/1687963952
Room on main floor-7 minutes walking to Islington subway,1000,"1179 Islington Avenue, Etobicoke, ON",2024-03-12 00:58:15,,,,,,,,,No,,Yes,,,,,,"Location, Location, Location! Home In Islington/Bloor Location. Seven minutes walking to Islington Subway, Shops, Cafes, Restaurants & More. Quick Access To Hwy 401, 427, Gardiner & Qew, Etc.",4 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-on-main-floor-7-minutes-walking-to-islington-subway/1687963870
2  bedroom condo for rent in Mimico & etobicoke.Call :6472254282,3200,"Annie Craig Dr, Etobicoke, ON M8V",2024-03-12 00:58:13,Condo,2,2,,Not Included,1,1 Year,"March 15, 2024",No,900,No,Yes,Not Included,Outdoors only,,,2 bedroom condo for rent in Mimico & etobicoke.Call :6472254282,4 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-condo-for-rent-in-mimico-etobicoke-call-:6472254282/1687963866
1 bedroom condo for rent in Mimico & etobicoke.Call :6472254282,2500,"Annie Craig Dr, Etobicoke, ON M8V",2024-03-12 00:56:47,Condo,1,1,,Not Included,1,1 Year,"March 15, 2024",No,750,No,Yes,Not Included,Outdoors only,,,1 bedroom condo for rent in Mimico & etobicoke.Call :6472254282,7 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-condo-for-rent-in-mimico-etobicoke-call-:6472254282/1687963737
All Inclusive Furnished 850 sqft Renovated Basement in Thornhill,1900,"Thornhill, ON L4J",2024-03-12 00:56:44,Basement,1,1,"Hydro_Yes,Heat_Yes,Water_Yes",Not Included,1,1 Year,"March 11, 2024",No,850,Yes,Yes,Yard,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer",,"This is a bright, spacious, and clean basement in Thornhill that is within walking distance of bus stops and shopping malls. It is in a quiet and safe neighborhood. One parking spot is included.
The space is furnished, and all the utilities (hydro, water, and electricity) are included in the price. Feel free to contact me if you would like to visit the unit.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/all-inclusive-furnished-850-sqft-renovated-basement-in-thornhill/1687963727
"1 Bed + Den with Locker, All Utils Included Toronto Waterfront",2650,"Yonge Street, Toronto, ON",2024-03-11 17:30:36,Condo,1 + Den,1,"Hydro_Yes,Heat_Yes,Water_Yes",Cable / TVInternet,0,1 Year,"March 31, 2024",Limited,539,Yes,Yes,Yard,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","Great 1 Bed + Den Condo at Prime Waterfront Location - 10 Yonge Street, Toronto",696 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-den-with-locker-all-utils-included-toronto-waterfront/1672130250
Renovated Jr. 1 @ Yonge and Davisville,2100,"155 Balliol Street, Toronto, ON, M4S 1C2",2024-03-06 20:59:08,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Yes,504,No,Yes,YardBalcony,No,"Laundry (In Building), Dishwasher","Gym, Pool, Bicycle Parking, Storage Space, Elevator in Building","1 Bed, 1 Bath, Air-Conditioned, Recently Renovated Kitchen with Stainless Steel Appliances, Amazing Location close to Subway, Unit Available! Contact us at 647-560-3945Balliol Towers",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-jr-1-yonge-and-davisville/1670484276
Renovated Studio apartment in the Heart of The Toronto Beaches,1797,"Avion Avenue, Toronto, ON",2024-03-10 15:15:32,Apartment,Bachelor/Studio,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,0,1 Year,"April 1, 2024",Yes,450,No,No,Yard,Outdoors only,"Laundry (In Building), Fridge / Freezer",,"If you desire proximity to a Sand Beach while at the same time having all the amenities that a Friendly, Upscale Urban Neighbourhood has to offer then you will want to move into this well located renovated, cozy apartment south of Queen St. in ""The Beach"" with an 95 Walk Score!",144 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-studio-apartment-in-the-heart-of-the-toronto-beaches/1687542247
High Park Village - One Bedroom Suites for Rent in High Park,2382,"111 Pacific Avenue, Toronto, ON, M6P 2P2",2024-03-11 23:31:45,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Limited,Not Available,No,No,Not Included,Outdoors only,"Laundry (In Building), Dishwasher, Fridge / Freezer","Pool, Bicycle Parking, Storage Space, Elevator in Building","For a limited time only, enjoy 1 month free rent on select suites, plus 12 months free parking. Inquire today!*",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/high-park-village-one-bedroom-suites-for-rent-in-high-park/1683353133
York University Village Rooms(FEMALE ONLY DUE to shared areas),950,"North York, ON M3J 0A1",2024-02-28 20:04:37,,,,,,,,,No,,Yes,,,,,,"AVAILABLE from March, 2024, a 12-month lease is preferred.",377 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/york-university-village-rooms-female-only-due-to-shared-areas/1686755417
